"","Mach_emp","Psyc_emp","Narc_emp","ML3_item_distilroberta","ML1_item_distilroberta","ML2_item_distilroberta","ML3_item_miniLM","ML1_item_miniLM","ML2_item_miniLM","ML1_item_mpnet","ML2_item_mpnet","ML3_item_mpnet","ML1_item_Wulff","ML3_item_Wulff","ML2_item_Wulff","ML3_item_e5","ML1_item_e5","ML2_item_e5","ML3_item_mpnet_en","ML1_item_mpnet_en","ML2_item_mpnet_en","ML3_item_t5","ML1_item_t5","ML2_item_t5","ML3_item_avg_transf","ML1_item_avg_transf","ML2_item_avg_transf"
"I.tend.to.manipulate.others.to.get.my.way",NA,NA,NA,0.097,0.977,-0.169,0.125,0.972,-0.185,1.029,-0.24,0.673,0.907,0.248,-0.224,0.387,0.72,-0.124,0.053,0.671,0.171,-0.072,1.162,-0.125,0.037,1.073,-0.219
"I.have.used.deceit.or.lied.to.get.my.way",NA,NA,NA,-0.337,0.973,0.054,-0.516,0.833,0.272,0.673,-0.181,0.597,0.55,0.04,0.011,-0.228,1.113,0.055,-0.487,1.105,-0.011,-0.28,1.021,0.174,-0.333,0.889,0.147
"I.have.use.flattery.to.get.my.way",NA,NA,NA,0.054,0.731,-0.088,-0.094,0.44,0.389,0.72,0.027,0.234,0.745,0.239,-0.267,0.094,1.002,-0.153,0.279,0.924,-0.47,0.455,0.63,-0.161,0.224,0.616,-0.083
"I.tend.to.exploit.others.towards.my.own.end",NA,NA,NA,0.048,0.853,-0.007,0.263,1,-0.4,0.801,-0.025,0.646,0.814,0.284,-0.122,0.49,0.326,0.143,0.205,0.492,0.166,0.152,0.563,0.249,0.104,0.858,-0.092
"I.tend.to.lack.remorse",NA,NA,NA,-0.153,-0.219,1.057,-0.036,-0.054,0.706,-0.303,0.986,0.527,-0.279,0.304,0.763,0.119,-0.017,0.844,-0.106,0.065,0.727,-0.031,-0.079,1.054,-0.042,-0.211,1.002
"I.tend.to.be.unconcerned.with.the.morality.of.my.actions.",NA,NA,NA,-0.095,-0.059,0.874,-0.067,0.154,0.627,-0.342,0.94,0.598,-0.259,0.097,0.642,0.102,0.171,0.646,-0.099,-0.236,1.009,-0.018,-0.098,1.047,-0.141,-0.089,0.962
"I.tend.to.be.callous.or.insensitive",NA,NA,NA,0.025,-0.016,0.792,0.043,-0.049,0.81,0.059,0.685,0.446,-0.111,0.138,0.672,-0.016,-0.037,1.004,0.111,0.031,0.682,0.054,0.173,0.706,-0.012,0.025,0.787
"I.tend.to.be.cynical",NA,NA,NA,0.054,0.004,0.705,0.229,-0.073,0.606,-0.01,0.684,0.386,-0.249,0.239,0.672,0.201,-0.21,0.957,0.134,-0.003,0.484,0.092,0.132,0.702,0.109,-0.053,0.695
"I.tend.to.want.others.to.admire.me",NA,NA,NA,1.083,-0.173,-0.055,1.025,-0.256,0.111,0.441,0.549,0.001,0.055,1.071,0.274,0.937,0.115,-0.068,0.932,-0.025,-0.11,1.116,-0.126,-0.026,1.184,-0.247,-0.069
"I.tend.to.want.others.to.pay.attention.to.me",NA,NA,NA,0.927,-0.143,0.049,0.688,0.147,0.072,0.52,0.414,0.205,0.176,0.63,0.111,0.895,0.184,-0.1,0.879,-0.096,0.049,0.842,0.272,-0.167,0.848,0.029,-0.031
"I.tend.to.seek.prestige.or.status",NA,NA,NA,0.581,0.109,0.081,0.602,0.103,0.083,0.505,0.327,0.228,0.472,0.403,0.009,0.215,0.26,0.476,0.649,0.097,-0.032,0.77,-0.067,0.233,0.578,0.162,0.054
"I.tend.to.expect.special.favors.from.others",NA,NA,NA,0.823,0.101,-0.14,0.827,-0.14,0.061,0.422,0.402,0.245,0.133,0.419,0.276,0.626,0.203,0.132,0.417,0.141,0.198,0.677,0.184,0.073,0.609,0.117,0.065
