I tend to manipulate others to get my way,I have used deceit or lied to get my way,I have use flattery to get my way,I tend to exploit others towards my own end,I tend to lack remorse,I tend to be unconcerned with the morality of my actions.,I tend to be callous or insensitive,I tend to be cynical,I tend to want others to admire me,I tend to want others to pay attention to me,I tend to seek prestige or status,I tend to expect special favors from others
1.0,0.90475965,0.87358093,0.90887845,0.8123635,0.7979686,0.8362671,0.82141376,0.8399174,0.8707998,0.81211495,0.8387178
0.90475965,1.0,0.8653677,0.8415804,0.8153065,0.8054415,0.77912676,0.7918533,0.75890136,0.7688913,0.7789929,0.76973605
0.87358093,0.8653677,1.0,0.8268696,0.7571218,0.74147093,0.7601075,0.75794005,0.86695254,0.857437,0.81962967,0.823346
0.90887845,0.8415804,0.8268696,1.0,0.8334208,0.83089566,0.8462857,0.83950305,0.84676373,0.8325585,0.8343582,0.8637115
0.8123635,0.8153065,0.7571218,0.8334208,1.0,0.908623,0.86881685,0.8487454,0.77945125,0.7554518,0.78227043,0.7690848
0.7979686,0.8054415,0.74147093,0.83089566,0.908623,1.0,0.8386294,0.8382844,0.76672846,0.74786174,0.78888005,0.7564044
0.8362671,0.77912676,0.7601075,0.8462857,0.86881685,0.8386294,1.0,0.8719423,0.7832313,0.7931283,0.78846955,0.79153854
0.82141376,0.7918533,0.75794005,0.83950305,0.8487454,0.8382844,0.8719423,1.0,0.7835188,0.7801339,0.7882353,0.79805076
0.8399174,0.75890136,0.86695254,0.84676373,0.77945125,0.76672846,0.7832313,0.7835188,1.0,0.92185926,0.88730496,0.8783624
0.8707998,0.7688913,0.857437,0.8325585,0.7554518,0.74786174,0.7931283,0.7801339,0.92185926,1.0,0.85574853,0.8624387
0.81211495,0.7789929,0.81962967,0.8343582,0.78227043,0.78888005,0.78846955,0.7882353,0.88730496,0.85574853,1.0,0.8418189
0.8387178,0.76973605,0.823346,0.8637115,0.7690848,0.7564044,0.79153854,0.79805076,0.8783624,0.8624387,0.8418189,1.0
